# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
          0.00000000      -7.21644966e-16     1.243449787580e-14     1.687538997430e-14     2.398081733190e-14
          0.41341373      -6.66133815e-16     6.217248937901e-15     7.105427357601e-15     2.309263891220e-14
          0.82682747      -4.44089210e-16     1.065814103640e-14     1.065814103640e-14     1.687538997430e-14
          1.24024120      -6.10622664e-16     1.243449787580e-14     6.217248937901e-15     2.309263891220e-14
          1.65365493      -6.10622664e-16     1.065814103640e-14     1.199040866595e-14     2.842170943040e-14
          2.06706867      -7.21644966e-16     9.769962616701e-15     1.287858708565e-14     3.730349362741e-14
          2.48048240      -1.11022302e-16     7.993605777301e-15     4.440892098501e-15     2.753353101070e-14
          2.89389613       4.99600361e-16     3.552713678801e-15     3.552713678801e-15     1.776356839400e-14
          3.30730987      -3.88578059e-16     8.881784197001e-15     1.243449787580e-14     3.463895836830e-14
          3.72072360      -5.55111512e-16     1.065814103640e-14     1.376676550535e-14     3.641531520771e-14
          4.13413733       1.11022302e-16     0.000000000000e+00     8.881784197001e-15     1.509903313490e-14
          4.54755107      -3.88578059e-16     7.993605777301e-15     1.021405182655e-14     1.865174681370e-14
          4.96096480       5.55111512e-17     7.993605777301e-15     5.329070518201e-15     2.131628207280e-14
          5.37437853       0.00000000e+00     2.664535259100e-15    -2.664535259100e-15     2.042810365310e-14
          5.78779227      -4.99600361e-16     7.105427357601e-15     1.287858708565e-14     2.842170943040e-14
          6.20120600      -1.11022302e-16     1.776356839400e-15     7.993605777301e-15     2.220446049250e-14
          6.61461974       2.22044605e-16    -1.776356839400e-15    -2.664535259100e-15     1.598721155460e-14
          7.02803347       4.44089210e-16    -1.776356839400e-15    -7.993605777301e-15     1.953992523340e-14
          7.44144720      -2.22044605e-16     9.769962616701e-15     7.549516567451e-15     2.842170943040e-14
          7.85486094      -1.11022302e-15     1.598721155460e-14     1.154631945610e-14     4.085620730621e-14
          8.26827467      -3.33066907e-16     1.065814103640e-14     7.993605777301e-15     4.174438572591e-14
          8.68168840       0.00000000e+00     8.881784197001e-15     2.664535259100e-15     3.108624468950e-14
          9.09510214       4.44089210e-16    -4.440892098501e-15    -9.769962616701e-15     2.042810365310e-14
          9.50851587      -1.55431223e-15     2.131628207280e-14     1.465494392505e-14     4.796163466381e-14
          9.92192960      -5.55111512e-16     8.881784197001e-15     1.643130076445e-14     3.375077994860e-14
         10.33534334      -6.10622664e-16     8.881784197001e-15     7.105427357601e-15     4.085620730621e-14
         10.74875707      -8.32667268e-16     9.769962616701e-15     6.217248937901e-15     3.907985046681e-14
         11.16217080      -5.55111512e-17     6.217248937901e-15    -1.776356839400e-15     2.309263891220e-14
         11.57558454      -4.44089210e-16     1.154631945610e-14     3.108624468950e-15     3.019806626980e-14
         11.98899827      -2.22044605e-16     4.440892098501e-15    -4.884981308351e-15     2.398081733190e-14
