#    time          strength            derivative     
    5.043648     0.0000000000e+00     0.0000000000e+00
    5.084989     0.0000000000e+00     0.0000000000e+00
    5.126330     0.0000000000e+00     0.0000000000e+00
    5.167672     0.0000000000e+00     0.0000000000e+00
    5.209013     0.0000000000e+00     0.0000000000e+00
    5.250354     0.0000000000e+00     0.0000000000e+00
    5.291696     0.0000000000e+00     0.0000000000e+00
    5.333037     0.0000000000e+00     0.0000000000e+00
    5.374379     0.0000000000e+00     0.0000000000e+00
    5.415720     0.0000000000e+00     0.0000000000e+00
    5.457061     0.0000000000e+00     0.0000000000e+00
    5.498403     0.0000000000e+00     0.0000000000e+00
    5.539744     0.0000000000e+00     0.0000000000e+00
    5.581085     0.0000000000e+00     0.0000000000e+00
    5.622427     0.0000000000e+00     0.0000000000e+00
    5.663768     0.0000000000e+00     0.0000000000e+00
    5.705110     0.0000000000e+00     0.0000000000e+00
    5.746451     0.0000000000e+00     0.0000000000e+00
    5.787792     0.0000000000e+00     0.0000000000e+00
    5.829134     0.0000000000e+00     0.0000000000e+00
    5.870475     0.0000000000e+00     0.0000000000e+00
    5.911816     0.0000000000e+00     0.0000000000e+00
    5.953158     0.0000000000e+00     0.0000000000e+00
    5.994499     0.0000000000e+00     0.0000000000e+00
    6.035841     0.0000000000e+00     0.0000000000e+00
    6.077182     0.0000000000e+00     0.0000000000e+00
    6.118523     0.0000000000e+00     0.0000000000e+00
    6.159865     0.0000000000e+00     0.0000000000e+00
    6.201206     0.0000000000e+00     0.0000000000e+00
    6.242547     0.0000000000e+00     0.0000000000e+00
    6.283889     0.0000000000e+00     0.0000000000e+00
    6.325230     0.0000000000e+00     0.0000000000e+00
    6.366571     0.0000000000e+00     0.0000000000e+00
    6.407913     0.0000000000e+00     0.0000000000e+00
    6.449254     0.0000000000e+00     0.0000000000e+00
    6.490596     0.0000000000e+00     0.0000000000e+00
    6.531937     0.0000000000e+00     0.0000000000e+00
    6.573278     0.0000000000e+00     0.0000000000e+00
    6.614620     0.0000000000e+00     0.0000000000e+00
    6.655961     0.0000000000e+00     0.0000000000e+00
    6.697302     0.0000000000e+00     0.0000000000e+00
    6.738644     0.0000000000e+00     0.0000000000e+00
    6.779985     0.0000000000e+00     0.0000000000e+00
    6.821327     0.0000000000e+00     0.0000000000e+00
    6.862668     0.0000000000e+00     0.0000000000e+00
    6.904009     0.0000000000e+00     0.0000000000e+00
    6.945351     0.0000000000e+00     0.0000000000e+00
    6.986692     0.0000000000e+00     0.0000000000e+00
    7.028033     0.0000000000e+00     0.0000000000e+00
    7.069375     0.0000000000e+00     0.0000000000e+00
    7.110716     0.0000000000e+00     0.0000000000e+00
    7.152058     0.0000000000e+00     0.0000000000e+00
    7.193399     0.0000000000e+00     0.0000000000e+00
    7.234740     0.0000000000e+00     0.0000000000e+00
    7.276082     0.0000000000e+00     0.0000000000e+00
    7.317423     0.0000000000e+00     0.0000000000e+00
    7.358764     0.0000000000e+00     0.0000000000e+00
    7.400106     0.0000000000e+00     0.0000000000e+00
    7.441447     0.0000000000e+00     0.0000000000e+00
    7.482789     0.0000000000e+00     0.0000000000e+00
    7.524130     0.0000000000e+00     0.0000000000e+00
    7.565471     0.0000000000e+00     0.0000000000e+00
    7.606813     0.0000000000e+00     0.0000000000e+00
    7.648154     0.0000000000e+00     0.0000000000e+00
    7.689495     0.0000000000e+00     0.0000000000e+00
    7.730837     0.0000000000e+00     0.0000000000e+00
    7.772178     0.0000000000e+00     0.0000000000e+00
    7.813520     0.0000000000e+00     0.0000000000e+00
    7.854861     0.0000000000e+00     0.0000000000e+00
    7.896202     0.0000000000e+00     0.0000000000e+00
    7.937544     0.0000000000e+00     0.0000000000e+00
    7.978885     0.0000000000e+00     0.0000000000e+00
    8.020226     0.0000000000e+00     0.0000000000e+00
    8.061568     0.0000000000e+00     0.0000000000e+00
    8.102909     0.0000000000e+00     0.0000000000e+00
    8.144251     0.0000000000e+00     0.0000000000e+00
    8.185592     0.0000000000e+00     0.0000000000e+00
    8.226933     0.0000000000e+00     0.0000000000e+00
    8.268275     0.0000000000e+00     0.0000000000e+00
    8.309616     0.0000000000e+00     0.0000000000e+00
    8.350957     0.0000000000e+00     0.0000000000e+00
    8.392299     0.0000000000e+00     0.0000000000e+00
    8.433640     0.0000000000e+00     0.0000000000e+00
    8.474982     0.0000000000e+00     0.0000000000e+00
    8.516323     0.0000000000e+00     0.0000000000e+00
    8.557664     0.0000000000e+00     0.0000000000e+00
    8.599006     0.0000000000e+00     0.0000000000e+00
    8.640347     0.0000000000e+00     0.0000000000e+00
    8.681688     0.0000000000e+00     0.0000000000e+00
    8.723030     0.0000000000e+00     0.0000000000e+00
    8.764371     0.0000000000e+00     0.0000000000e+00
    8.805713     0.0000000000e+00     0.0000000000e+00
    8.847054     0.0000000000e+00     0.0000000000e+00
    8.888395     0.0000000000e+00     0.0000000000e+00
    8.929737     0.0000000000e+00     0.0000000000e+00
    8.971078     0.0000000000e+00     0.0000000000e+00
    9.012419     0.0000000000e+00     0.0000000000e+00
    9.053761     0.0000000000e+00     0.0000000000e+00
    9.095102     0.0000000000e+00     0.0000000000e+00
    9.136444     0.0000000000e+00     0.0000000000e+00
    9.177785     0.0000000000e+00     0.0000000000e+00
    9.219126     0.0000000000e+00     0.0000000000e+00
    9.260468     0.0000000000e+00     0.0000000000e+00
    9.301809     0.0000000000e+00     0.0000000000e+00
    9.343150     0.0000000000e+00     0.0000000000e+00
    9.384492     0.0000000000e+00     0.0000000000e+00
    9.425833     0.0000000000e+00     0.0000000000e+00
