# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
          9.09510214      -1.20226953e-15     1.778434576735e-14     1.707297193665e-14     1.564112079195e-04
          9.50851587       8.81484199e-16    -7.825112137633e-15    -9.070016341348e-15     1.616832991934e-04
          9.92192960      -1.91299673e-15     2.329749295523e-14     2.472024061661e-14     1.670150336575e-04
         10.33534334       9.18891941e-16    -9.603546714368e-15    -7.825112137633e-15     1.723560530927e-04
         10.74875707      -5.14206790e-16     7.469425222286e-15     6.402364476246e-15     1.776588394353e-04
         11.16217080      -4.50626396e-15     5.406441113274e-14     4.908479431788e-14     1.828802507073e-04
         11.57558454      -1.72662740e-15     1.920709342874e-14     1.831787614037e-14     1.879476367591e-04
         11.98899827      -3.23788518e-15     3.503516116168e-14     3.432378733098e-14     1.927457952738e-04
         12.40241200      -1.77224176e-15     2.027415417478e-14     1.262688549482e-14     1.971595116177e-04
         12.81582574      -2.19126663e-15     2.489808407429e-14     1.636159810596e-14     2.011415677263e-04
         13.22923947      -1.34333364e-15     1.102629437576e-14     1.262688549482e-14     2.047400606040e-04
         13.64265320      -1.73481066e-15     2.383102332825e-14     1.244904203714e-14     2.080532856719e-04
         14.05606694      -4.69328244e-16     1.458316352923e-14     1.191551166412e-14     2.111506424661e-04
         14.46948067      -8.20789184e-16     1.102629437576e-14     1.422747661388e-15     2.140302553208e-04
         14.88289440      -1.02202813e-15     1.138198129110e-14     1.049276400274e-14     2.166447718193e-04
         15.29630814      -1.20709250e-15     1.369394624086e-14     8.002955595307e-15     2.189584214018e-04
         15.70972187       8.81377022e-16    -1.511669390225e-14    -1.831787614037e-14     2.209728275314e-04
         16.12313560      -5.64315578e-17     7.113738306940e-16    -0.000000000000e+00     2.227006722357e-04
         16.53654934       5.67863534e-17     4.979616814858e-15     3.734712611143e-15     2.241271546085e-04
         16.94996307      -1.15312451e-15     1.031492054506e-14     8.180799052980e-15     2.252123186350e-04
         17.36337680       7.26913189e-16    -1.440532007155e-14    -1.333825932551e-14     2.259395124802e-04
         17.77679054      -3.97704288e-17    -6.402364476246e-15    -1.138198129110e-14     2.263602661982e-04
         18.19020427       3.57619837e-18    -3.734712611143e-15    -1.493885044457e-14     2.265849484555e-04
         18.60361800      -9.31142319e-16     1.138198129110e-14     7.113738306940e-15     2.267234825642e-04
         19.01703174       2.10054287e-15    -2.543161444731e-14    -1.902924997106e-14     2.268318923139e-04
         19.43044547      -8.65233562e-16     1.049276400274e-14     6.580207933919e-15     2.269128890531e-04
         19.84385921       1.42539092e-15    -1.778434576735e-14    -2.685436210870e-14     2.269604908762e-04
         20.25727294      -1.26245704e-15     1.547238081759e-14     8.358642510654e-15     2.269928540238e-04
         20.67068667       3.17585749e-16    -4.979616814858e-15    -1.031492054506e-14     2.270333492847e-04
         21.08410041      -1.53991622e-15     1.831787614037e-14     1.618375464829e-14     2.270597836842e-04
         21.49751414       9.21448992e-16    -1.138198129110e-14    -1.440532007155e-14     2.269803925249e-04
         21.91092787      -2.91576731e-15     3.307888312727e-14     3.503516116168e-14     2.266706808858e-04
         22.32434161      -1.23599729e-15     8.892172883674e-15     1.084845091808e-14     2.260433513920e-04
         22.73775534       5.95607497e-16    -1.120413783343e-14    -1.618375464829e-14     2.250900702067e-04
         23.15116907       4.73118007e-16    -1.084845091808e-14    -5.513147187878e-15     2.238632964031e-04
         23.56458281       4.85164405e-16    -2.489808407429e-15    -6.402364476246e-15     2.224260254697e-04
         23.97799654      -1.57944372e-15     7.825112137633e-15     1.493885044457e-14     2.208233286187e-04
         24.39141027       9.64419230e-16    -1.938493688641e-14    -1.814003268270e-14     2.190964185643e-04
         24.80482401       7.88524075e-16    -1.173766820645e-14    -1.760650230968e-14     2.173068164851e-04
         25.21823774      -1.51727807e-15     1.316041586784e-14     1.191551166412e-14     2.155250426236e-04
         25.63165147      -7.08537248e-16     6.580207933919e-15     4.801773357184e-15     2.137799962827e-04
         26.04506521      -7.74529080e-16     4.446086441837e-15    -6.758051391593e-15     2.120154601076e-04
         26.45847894      -1.71793498e-15     1.493885044457e-14     1.476100698690e-14     2.101022418204e-04
         26.87189267      -8.31364300e-16    -8.892172883674e-16    -8.358642510654e-15     2.079034969492e-04
         27.28530641      -7.55796953e-16     6.402364476246e-15     7.647268679960e-15     2.053396050026e-04
         27.69872014      -2.90229278e-16     4.268242984164e-15     4.446086441837e-15     2.024013652367e-04
         28.11213387       6.59857790e-16    -1.155982474878e-14    -1.653944156363e-14     1.991131851325e-04
         28.52554761      -3.54706904e-16     1.600591119061e-15     1.173766820645e-14     1.954951496077e-04
         28.93896134      -8.96518282e-16     1.049276400274e-14     1.031492054506e-14     1.915656835029e-04
         29.35237507       2.24712609e-15    -2.596514482033e-14    -2.062984109012e-14     1.873754971852e-04
         29.76578881      -8.62359394e-16     5.690990645552e-15     1.316041586784e-14     1.830256771486e-04
         30.17920254       2.06066312e-16    -3.556869153470e-15    -5.335303730205e-16     1.786391620843e-04
         30.59261627       6.37876844e-16    -1.298257241016e-14    -1.155982474878e-14     1.743063823954e-04
         31.00603001       6.62702964e-16    -1.529453735992e-14    -1.333825932551e-14     1.700552840512e-04
         31.41944374       1.84530215e-15    -2.863279668543e-14    -2.916632705845e-14     1.658709384933e-04
         31.83285748       1.94092488e-15    -2.098552800547e-14    -2.009631071710e-14     1.617380387383e-04
         32.24627121       4.66429938e-16    -9.959233629715e-15    -6.580207933919e-15     1.576576388294e-04
         32.65968494       4.22936581e-16    -1.262688549482e-14    -1.493885044457e-14     1.536212045406e-04
         33.07309868      -4.78313030e-16    -4.090399526490e-15     1.067060746041e-15     1.495752266727e-04
         33.48651241      -2.88965789e-16     1.600591119061e-15    -7.291581764613e-15     1.454229523985e-04
         33.89992614       3.64264868e-16    -1.067060746041e-14    -4.979616814858e-15     1.410712068277e-04
         34.31333988      -1.62766151e-15     1.120413783343e-14     1.227119857947e-14     1.364813656312e-04
         34.72675361      -1.18478540e-15     1.049276400274e-14     1.013707708739e-14     1.316770885913e-04
         35.14016734      -6.74955808e-17    -5.335303730205e-16     5.335303730205e-16     1.267043239384e-04
         35.55358108       2.24148887e-15    -3.379025695796e-14    -2.578730136266e-14     1.215854630809e-04
         35.96699481      -7.21640121e-16     1.191551166412e-14     1.316041586784e-14     1.163108356384e-04
         36.38040854      -1.99630088e-15     2.578730136266e-14     2.774357939706e-14     1.108677772934e-04
         36.79382228       4.13431453e-16    -1.173766820645e-14    -1.387178969853e-14     1.052681129843e-04
         37.20723601       7.19861582e-16    -7.113738306940e-15    -1.422747661388e-14     9.954096468400e-05
         37.62064974      -5.31373586e-17     1.422747661388e-15     4.090399526490e-15     9.370022077150e-05
         38.03406348      -1.07322269e-15     7.825112137633e-15     8.536485968327e-15     8.772623511275e-05
         38.44747721      -3.61308700e-16     2.311964949755e-15     1.067060746041e-15     8.158564552196e-05
         38.86089094      -2.41851126e-15     2.240827566686e-14     2.223043220919e-14     7.526955458159e-05
         39.27430468      -1.75595174e-15     8.536485968327e-15     1.476100698690e-14     6.880773797054e-05
         39.68771841       1.10038773e-16    -5.157460272531e-15    -1.173766820645e-14     6.224075782456e-05
         40.10113214       1.64254743e-17    -3.734712611143e-15    -9.781390172042e-15     5.557704451343e-05
         40.51454588      -2.76294682e-15     2.347533641290e-14     2.347533641290e-14     4.877930099261e-05
         40.92795961       4.65698868e-16    -6.935894849266e-15    -4.446086441837e-15     4.179532543160e-05
         41.34137334       6.28469404e-16    -1.547238081759e-14    -1.565022427527e-14     3.460385208755e-05
         41.75478708      -1.23663059e-16    -4.090399526490e-15    -6.580207933919e-15     2.723302879466e-05
         42.16820081       1.36575076e-15    -1.511669390225e-14    -1.778434576735e-14     1.973960012970e-05
         42.58161454      -1.73540859e-15     1.956278034408e-14     1.458316352923e-14     1.217644568113e-05
         42.99502828      -1.20972578e-15     1.227119857947e-14     8.358642510654e-15     4.582847757059e-06
         43.40844201      -1.21691986e-15     1.102629437576e-14     1.084845091808e-14    -2.998704106476e-06
         43.82185574      -3.13569920e-16     2.134121492082e-15     5.868834103225e-15    -1.050724105349e-05
         44.23526948       8.98194164e-16    -1.316041586784e-14    -1.387178969853e-14    -1.787537289943e-05
         44.64868321       1.16117569e-15    -1.707297193665e-14    -2.596514482033e-14    -2.506187056032e-05
         45.06209695       1.53449240e-16    -4.623929899511e-15    -9.781390172042e-15    -3.207246434283e-05
         45.47551068      -7.94451561e-16     5.513147187878e-15     6.402364476246e-15    -3.894695852069e-05
         45.88892441      -1.14699873e-15     9.781390172042e-15     1.511669390225e-14    -4.572568869683e-05
         46.30233815       1.65112171e-15    -1.333825932551e-14    -1.440532007155e-14    -5.242948383234e-05
         46.71575188       9.41125833e-16    -1.209335512180e-14    -1.191551166412e-14    -5.907177635053e-05
         47.12916561      -8.51646066e-16     6.758051391593e-15     6.224521018572e-15    -6.568644665304e-05
         47.54257935      -6.05489629e-16     1.084845091808e-14     9.603546714368e-15    -7.233806579687e-05
         47.95599308      -1.61000532e-15     1.707297193665e-14     1.440532007155e-14    -7.909969797018e-05
         48.36940681       5.40806082e-16    -1.316041586784e-14    -1.298257241016e-14    -8.601661143033e-05
         48.78282055       1.06654825e-15    -1.244904203714e-14    -1.529453735992e-14    -9.308708786282e-05
         49.19623428       1.02217267e-15    -1.049276400274e-14    -5.868834103225e-15    -1.002724206836e-04
         49.60964801       4.24071238e-16    -1.067060746041e-15     5.335303730205e-16    -1.075197111411e-04
         50.02306175      -8.48163815e-16     1.067060746041e-14     1.814003268270e-14    -1.147736516346e-04
         50.43647548       6.19020490e-16    -5.335303730205e-15    -3.023338780449e-15    -1.219724311738e-04
         50.84988921      -6.56942014e-16     1.138198129110e-14     1.280472895249e-14    -1.290445317761e-04
         51.26330295      -1.26947308e-15     1.636159810596e-14     1.458316352923e-14    -1.359226090369e-04
         51.67671668       2.55628404e-15    -2.703220556637e-14    -3.361241350029e-14    -1.425692195657e-04
         52.09013041      -3.70006171e-18    -8.892172883674e-16    -1.778434576735e-16    -1.489917944717e-04
         52.50354415       5.64492985e-16    -4.801773357184e-15    -3.201182238123e-15    -1.552310229505e-04
         52.91695788       8.72122839e-16    -1.173766820645e-14    -3.734712611143e-15    -1.613309589870e-04
         53.33037161      -2.30528302e-15     2.578730136266e-14     2.436455370127e-14    -1.673152132553e-04
         53.74378535       1.17090281e-15    -1.191551166412e-14    -1.689512847898e-14    -1.731852954875e-04
         54.15719908      -6.71337860e-16     7.113738306940e-15     7.291581764613e-15    -1.789343873848e-04
         54.57061281       1.10683342e-15    -1.422747661388e-14    -1.636159810596e-14    -1.845566790246e-04
         54.98402655       1.48682318e-15    -1.316041586784e-14    -1.867356305572e-14    -1.900411268892e-04
         55.39744028       3.03771709e-16    -4.979616814858e-15    -8.358642510654e-15    -1.953576734485e-04
         55.81085401      -6.47800629e-16     5.513147187878e-15     5.513147187878e-15    -2.004525365245e-04
         56.22426775      -1.63529828e-16     3.201182238123e-15    -1.422747661388e-15    -2.052594135166e-04
         56.63768148       7.63566780e-16    -9.603546714368e-15    -1.138198129110e-14    -2.097177093216e-04
         57.05109521      -2.29752963e-15     2.187474529384e-14     2.952201397380e-14    -2.137844051989e-04
         57.46450895       1.08020283e-15    -1.565022427527e-14    -1.280472895249e-14    -2.174360479985e-04
         57.87792268      -7.65246315e-16     1.262688549482e-14     1.298257241016e-14    -2.206686344229e-04
