# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.10.0
# Total time = 20.0000 fs, Time steps = [10.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    3.300000     0.0000000000e+00     0.0000000000e+00     5.8144594341e-06
    3.350000     0.0000000000e+00     0.0000000000e+00     8.2439063736e-06
    3.400000     0.0000000000e+00     0.0000000000e+00     1.0784235905e-05
    3.450000    -0.0000000000e+00    -0.0000000000e+00     1.3234390872e-05
    3.500000    -0.0000000000e+00    -0.0000000000e+00     1.5353385728e-05
    3.550000    -0.0000000000e+00    -0.0000000000e+00     1.6886836495e-05
    3.600000    -0.0000000000e+00    -0.0000000000e+00     1.7628355754e-05
    3.650000    -0.0000000000e+00    -0.0000000000e+00     1.7494269904e-05
    3.700000    -0.0000000000e+00    -0.0000000000e+00     1.6613066370e-05
    3.750000    -0.0000000000e+00    -0.0000000000e+00     1.5488988552e-05
    3.800000    -0.0000000000e+00    -0.0000000000e+00     1.5417132490e-05
    3.850000    -0.0000000000e+00    -0.0000000000e+00     1.9579820646e-05
    3.900000    -0.0000000000e+00    -0.0000000000e+00     3.5759120428e-05
    3.950000    -0.0000000000e+00    -0.0000000000e+00     8.2481152685e-05
    4.000000     0.0000000000e+00     0.0000000000e+00     2.0171896549e-04
    4.050000     0.0000000000e+00     0.0000000000e+00     4.8281767896e-04
    4.100000     0.0000000000e+00     0.0000000000e+00     1.1032524151e-03
    4.150000     0.0000000000e+00     0.0000000000e+00     2.3904298043e-03
    4.200000     0.0000000000e+00     0.0000000000e+00     4.9024366886e-03
    4.250000     0.0000000000e+00     0.0000000000e+00     9.5121932116e-03
    4.300000     0.0000000000e+00    -0.0000000000e+00     1.7459366622e-02
    4.350000     0.0000000000e+00    -0.0000000000e+00     3.0313831995e-02
    4.400000    -0.0000000000e+00    -0.0000000000e+00     4.9786733382e-02
    4.450000    -0.0000000000e+00    -0.0000000000e+00     7.7347419700e-02
    4.500000    -0.0000000000e+00    -0.0000000000e+00     1.1366779377e-01
    4.550000    -0.0000000000e+00    -0.0000000000e+00     1.5801156497e-01
    4.600000    -0.0000000000e+00    -0.0000000000e+00     2.0777861432e-01
    4.650000    -0.0000000000e+00    -0.0000000000e+00     2.5844859430e-01
    4.700000    -0.0000000000e+00    -0.0000000000e+00     3.0409535120e-01
    4.750000    -0.0000000000e+00    -0.0000000000e+00     3.3846101353e-01
    4.800000    -0.0000000000e+00    -0.0000000000e+00     3.5634595558e-01
    4.850000    -0.0000000000e+00    -0.0000000000e+00     3.5489548934e-01
    4.900000    -0.0000000000e+00    -0.0000000000e+00     3.3434585321e-01
    4.950000    -0.0000000000e+00    -0.0000000000e+00     2.9796148834e-01
    5.000000    -0.0000000000e+00    -0.0000000000e+00     2.5118675251e-01
    5.050000    -0.0000000000e+00    -0.0000000000e+00     2.0031579506e-01
    5.100000    -0.0000000000e+00    -0.0000000000e+00     1.5112790431e-01
    5.150000    -0.0000000000e+00    -0.0000000000e+00     1.0789017169e-01
    5.200000    -0.0000000000e+00    -0.0000000000e+00     7.2938583996e-02
    5.250000     0.0000000000e+00    -0.0000000000e+00     4.6817420634e-02
    5.300000     0.0000000000e+00    -0.0000000000e+00     2.8787538337e-02
    5.350000     0.0000000000e+00    -0.0000000000e+00     1.7457072650e-02
    5.400000     0.0000000000e+00    -0.0000000000e+00     1.1330798413e-02
    5.450000     0.0000000000e+00    -0.0000000000e+00     9.1664166202e-03
    5.500000     0.0000000000e+00    -0.0000000000e+00     1.0115479175e-02
    5.550000     0.0000000000e+00     0.0000000000e+00     1.3684960329e-02
    5.600000     0.0000000000e+00     0.0000000000e+00     1.9581010778e-02
    5.650000     0.0000000000e+00     0.0000000000e+00     2.7502427095e-02
    5.700000     0.0000000000e+00     0.0000000000e+00     3.6950291604e-02
    5.750000    -0.0000000000e+00     0.0000000000e+00     4.7114695652e-02
    5.800000    -0.0000000000e+00     0.0000000000e+00     5.6883474090e-02
    5.850000    -0.0000000000e+00     0.0000000000e+00     6.4985613931e-02
    5.900000    -0.0000000000e+00     0.0000000000e+00     7.0236981827e-02
    5.950000     0.0000000000e+00     0.0000000000e+00     7.1813759693e-02
    6.000000     0.0000000000e+00     0.0000000000e+00     6.9460157467e-02
    6.050000     0.0000000000e+00     0.0000000000e+00     6.3554803886e-02
    6.100000     0.0000000000e+00     0.0000000000e+00     5.5010478269e-02
    6.150000     0.0000000000e+00     0.0000000000e+00     4.5043010057e-02
    6.200000     0.0000000000e+00     0.0000000000e+00     3.4889535493e-02
    6.250000     0.0000000000e+00     0.0000000000e+00     2.5565237691e-02
    6.300000     0.0000000000e+00     0.0000000000e+00     1.7721173671e-02
    6.350000     0.0000000000e+00     0.0000000000e+00     1.1620472922e-02
    6.400000     0.0000000000e+00     0.0000000000e+00     7.2084580058e-03
    6.450000    -0.0000000000e+00     0.0000000000e+00     4.2299979758e-03
    6.500000    -0.0000000000e+00     0.0000000000e+00     2.3479596635e-03
    6.550000    -0.0000000000e+00     0.0000000000e+00     1.2325864154e-03
    6.600000    -0.0000000000e+00    -0.0000000000e+00     6.1166229614e-04
    6.650000    -0.0000000000e+00    -0.0000000000e+00     2.8656260537e-04
    6.700000    -0.0000000000e+00    -0.0000000000e+00     1.2632672922e-04
    6.750000    -0.0000000000e+00    -0.0000000000e+00     5.1949930266e-05
    6.800000    -0.0000000000e+00    -0.0000000000e+00     1.9476751826e-05
    6.850000    -0.0000000000e+00    -0.0000000000e+00     6.2264528428e-06
    6.900000    -0.0000000000e+00    -0.0000000000e+00     1.2933241068e-06
    6.950000    -0.0000000000e+00    -0.0000000000e+00    -2.3891598232e-07
    7.000000    -0.0000000000e+00    -0.0000000000e+00    -4.7286914208e-07
    7.050000    -0.0000000000e+00    -0.0000000000e+00    -2.8344298085e-07
    7.100000    -0.0000000000e+00    -0.0000000000e+00    -4.2329828644e-08
    7.150000    -0.0000000000e+00    -0.0000000000e+00     7.5674261540e-08
    7.200000    -0.0000000000e+00    -0.0000000000e+00    -2.8577929811e-08
    7.250000    -0.0000000000e+00    -0.0000000000e+00    -4.1982307362e-07
    7.300000    -0.0000000000e+00    -0.0000000000e+00    -1.1344023304e-06
    7.350000    -0.0000000000e+00    -0.0000000000e+00    -2.1733960393e-06
    7.400000    -0.0000000000e+00    -0.0000000000e+00    -3.4934484577e-06
    7.450000    -0.0000000000e+00    -0.0000000000e+00    -4.9988873794e-06
    7.500000    -0.0000000000e+00    -0.0000000000e+00    -6.5406840823e-06
    7.550000    -0.0000000000e+00    -0.0000000000e+00    -7.9313645475e-06
    7.600000    -0.0000000000e+00    -0.0000000000e+00    -8.9783498581e-06
    7.650000    -0.0000000000e+00    -0.0000000000e+00    -9.5255578044e-06
    7.700000    -0.0000000000e+00    -0.0000000000e+00    -9.4886972643e-06
    7.750000    -0.0000000000e+00    -0.0000000000e+00    -8.8749337997e-06
    7.800000    -0.0000000000e+00    -0.0000000000e+00    -7.7821360730e-06
    7.850000    -0.0000000000e+00    -0.0000000000e+00    -6.3752784071e-06
    7.900000    -0.0000000000e+00    -0.0000000000e+00    -4.8453492274e-06
    7.950000    -0.0000000000e+00    -0.0000000000e+00    -3.3664037398e-06
    8.000000    -0.0000000000e+00    -0.0000000000e+00    -2.0663272049e-06
    8.050000    -0.0000000000e+00    -0.0000000000e+00    -1.0156143192e-06
    8.100000    -0.0000000000e+00    -0.0000000000e+00    -2.2999386721e-07
    8.150000    -0.0000000000e+00    -0.0000000000e+00     3.1685980005e-07
    8.200000    -0.0000000000e+00    -0.0000000000e+00     6.7400887545e-07
    8.250000    -0.0000000000e+00    -0.0000000000e+00     8.9498176296e-07
    8.300000    -0.0000000000e+00    -0.0000000000e+00     1.0280336353e-06
    8.350000    -0.0000000000e+00    -0.0000000000e+00     1.1143965100e-06
    8.400000    -0.0000000000e+00    -0.0000000000e+00     1.1888352092e-06
    8.450000    -0.0000000000e+00    -0.0000000000e+00     1.2809387723e-06
    8.500000    -0.0000000000e+00    -0.0000000000e+00     1.4196761062e-06
    8.550000    -0.0000000000e+00    -0.0000000000e+00     1.6406588392e-06
    8.600000    -0.0000000000e+00    -0.0000000000e+00     1.9939592846e-06
    8.650000    -0.0000000000e+00     0.0000000000e+00     2.5590272885e-06
    8.700000    -0.0000000000e+00     0.0000000000e+00     3.4858988845e-06
    8.750000     0.0000000000e+00     0.0000000000e+00     5.0903194183e-06
    8.800000     0.0000000000e+00     0.0000000000e+00     8.0391209768e-06
    8.850000     0.0000000000e+00     0.0000000000e+00     1.3673251004e-05
    8.900000     0.0000000000e+00     0.0000000000e+00     2.4509200634e-05
    8.950000     0.0000000000e+00     0.0000000000e+00     4.4905182211e-05
    9.000000     0.0000000000e+00     0.0000000000e+00     8.1763623810e-05
    9.050000     0.0000000000e+00     0.0000000000e+00     1.4498083021e-04
    9.100000     0.0000000000e+00     0.0000000000e+00     2.4719339873e-04
    9.150000     0.0000000000e+00     0.0000000000e+00     4.0230388521e-04
    9.200000     0.0000000000e+00     0.0000000000e+00     6.2243434064e-04
    9.250000     0.0000000000e+00     0.0000000000e+00     9.1345770309e-04
    9.300000     0.0000000000e+00     0.0000000000e+00     1.2700313900e-03
    9.350000     0.0000000000e+00     0.0000000000e+00     1.6718130582e-03
    9.400000     0.0000000000e+00     0.0000000000e+00     2.0828321405e-03
    9.450000     0.0000000000e+00     0.0000000000e+00     2.4554425563e-03
    9.500000     0.0000000000e+00     0.0000000000e+00     2.7388435956e-03
    9.550000    -0.0000000000e+00    -0.0000000000e+00     2.8902807909e-03
    9.600000    -0.0000000000e+00    -0.0000000000e+00     2.8855786095e-03
    9.650000    -0.0000000000e+00    -0.0000000000e+00     2.7254401309e-03
    9.700000    -0.0000000000e+00    -0.0000000000e+00     2.4352583363e-03
    9.750000    -0.0000000000e+00    -0.0000000000e+00     2.0585113580e-03
    9.800000    -0.0000000000e+00    -0.0000000000e+00     1.6461029689e-03
    9.850000    -0.0000000000e+00    -0.0000000000e+00     1.2452339094e-03
    9.900000    -0.0000000000e+00    -0.0000000000e+00     8.9109757988e-04
    9.950000    -0.0000000000e+00    -0.0000000000e+00     6.0319476160e-04
   10.000000    -0.0000000000e+00    -0.0000000000e+00     3.8618404428e-04
   10.050000    -0.0000000000e+00    -0.0000000000e+00     2.3377874059e-04
   10.100000    -0.0000000000e+00    -0.0000000000e+00     1.3371084459e-04
   10.150000    -0.0000000000e+00    -0.0000000000e+00     7.2125009692e-05
   10.200000    -0.0000000000e+00    -0.0000000000e+00     3.6530262929e-05
   10.250000    -0.0000000000e+00    -0.0000000000e+00     1.7191698179e-05
   10.300000    -0.0000000000e+00    -0.0000000000e+00     7.3285488915e-06
   10.350000    -0.0000000000e+00    -0.0000000000e+00     2.6433878664e-06
   10.400000    -0.0000000000e+00    -0.0000000000e+00     6.2805975746e-07
   10.450000    -0.0000000000e+00    -0.0000000000e+00    -8.2357496444e-08
   10.500000    -0.0000000000e+00    -0.0000000000e+00    -1.9390423786e-07
   10.550000    -0.0000000000e+00    -0.0000000000e+00    -6.2853489422e-08
   10.600000    -0.0000000000e+00    -0.0000000000e+00     1.3322449582e-07
   10.650000    -0.0000000000e+00    -0.0000000000e+00     3.0967052513e-07
   10.700000    -0.0000000000e+00    -0.0000000000e+00     4.3186377400e-07
   10.750000    -0.0000000000e+00    -0.0000000000e+00     4.9312904648e-07
   10.800000    -0.0000000000e+00    -0.0000000000e+00     5.0330886375e-07
   10.850000    -0.0000000000e+00    -0.0000000000e+00     4.8043810332e-07
   10.900000    -0.0000000000e+00    -0.0000000000e+00     4.4198701694e-07
   10.950000    -0.0000000000e+00    -0.0000000000e+00     3.9879675107e-07
   11.000000    -0.0000000000e+00    -0.0000000000e+00     3.5486141572e-07
   11.050000    -0.0000000000e+00    -0.0000000000e+00     3.0980657986e-07
   11.100000    -0.0000000000e+00    -0.0000000000e+00     2.5961060774e-07
   11.150000    -0.0000000000e+00    -0.0000000000e+00     1.9686881184e-07
   11.200000    -0.0000000000e+00    -0.0000000000e+00     1.1391325210e-07
   11.250000    -0.0000000000e+00    -0.0000000000e+00     6.9777079297e-09
   11.300000    -0.0000000000e+00    -0.0000000000e+00    -1.2259997574e-07
   11.350000    -0.0000000000e+00    -0.0000000000e+00    -2.6919814421e-07
   11.400000    -0.0000000000e+00     0.0000000000e+00    -4.2226739475e-07
   11.450000    -0.0000000000e+00     0.0000000000e+00    -5.6551033023e-07
   11.500000    -0.0000000000e+00     0.0000000000e+00    -6.7997074093e-07
   11.550000    -0.0000000000e+00     0.0000000000e+00    -7.4999713471e-07
   11.600000    -0.0000000000e+00     0.0000000000e+00    -7.6688795652e-07
   11.650000    -0.0000000000e+00     0.0000000000e+00    -7.2906521318e-07
   11.700000    -0.0000000000e+00    -0.0000000000e+00    -6.4209786465e-07
   11.750000    -0.0000000000e+00    -0.0000000000e+00    -5.1891468939e-07
   11.800000    -0.0000000000e+00    -0.0000000000e+00    -3.7684739021e-07
   11.850000    -0.0000000000e+00    -0.0000000000e+00    -2.3184809642e-07
   11.900000    -0.0000000000e+00    -0.0000000000e+00    -9.4964104008e-08
   11.950000    -0.0000000000e+00    -0.0000000000e+00     2.7078032554e-08
   12.000000    -0.0000000000e+00    -0.0000000000e+00     1.3100055834e-07
   12.050000    -0.0000000000e+00    -0.0000000000e+00     2.1785211092e-07
   12.100000    -0.0000000000e+00    -0.0000000000e+00     2.9254830907e-07
   12.150000    -0.0000000000e+00    -0.0000000000e+00     3.6059012202e-07
   12.200000    -0.0000000000e+00    -0.0000000000e+00     4.2569847053e-07
   12.250000    -0.0000000000e+00    -0.0000000000e+00     4.9073253651e-07
   12.300000    -0.0000000000e+00    -0.0000000000e+00     5.5856955887e-07
   12.350000    -0.0000000000e+00    -0.0000000000e+00     6.3021742140e-07
   12.400000    -0.0000000000e+00    -0.0000000000e+00     7.0316373438e-07
   12.450000    -0.0000000000e+00    -0.0000000000e+00     7.7304902725e-07
   12.500000    -0.0000000000e+00    -0.0000000000e+00     8.3609106907e-07
   12.550000    -0.0000000000e+00    -0.0000000000e+00     8.8895254053e-07
   12.600000    -0.0000000000e+00    -0.0000000000e+00     9.2812129054e-07
   12.650000    -0.0000000000e+00    -0.0000000000e+00     9.5191590678e-07
   12.700000    -0.0000000000e+00    -0.0000000000e+00     9.6282078008e-07
   12.750000    -0.0000000000e+00    -0.0000000000e+00     9.6631883030e-07
   12.800000    -0.0000000000e+00    -0.0000000000e+00     9.6791358809e-07
   12.850000    -0.0000000000e+00    -0.0000000000e+00     9.7251795404e-07
   12.900000    -0.0000000000e+00    -0.0000000000e+00     9.8544314069e-07
   12.950000    -0.0000000000e+00    -0.0000000000e+00     1.0113464153e-06
   13.000000    -0.0000000000e+00    -0.0000000000e+00     1.0520264497e-06
   13.050000    -0.0000000000e+00    -0.0000000000e+00     1.1070214952e-06
   13.100000    -0.0000000000e+00    -0.0000000000e+00     1.1764525773e-06
   13.150000    -0.0000000000e+00    -0.0000000000e+00     1.2618062341e-06
   13.200000    -0.0000000000e+00    -0.0000000000e+00     1.3644020972e-06
   13.250000    -0.0000000000e+00    -0.0000000000e+00     1.4855237819e-06
   13.300000    -0.0000000000e+00    -0.0000000000e+00     1.6287830407e-06
   13.350000    -0.0000000000e+00    -0.0000000000e+00     1.8011460158e-06
   13.400000    -0.0000000000e+00    -0.0000000000e+00     2.0132026850e-06
   13.450000    -0.0000000000e+00    -0.0000000000e+00     2.2872303977e-06
   13.500000    -0.0000000000e+00    -0.0000000000e+00     2.6879358745e-06
   13.550000    -0.0000000000e+00    -0.0000000000e+00     3.4092993193e-06
   13.600000    -0.0000000000e+00    -0.0000000000e+00     5.0107020107e-06
   13.650000    -0.0000000000e+00    -0.0000000000e+00     9.0293657884e-06
   13.700000    -0.0000000000e+00    -0.0000000000e+00     1.9452579066e-05
   13.750000    -0.0000000000e+00    -0.0000000000e+00     4.5984776021e-05
   13.800000    -0.0000000000e+00    -0.0000000000e+00     1.1073396422e-04
   13.850000    -0.0000000000e+00    -0.0000000000e+00     2.6075095312e-04
   13.900000    -0.0000000000e+00    -0.0000000000e+00     5.8933441031e-04
   13.950000    -0.0000000000e+00    -0.0000000000e+00     1.2682517320e-03
   14.000000    -0.0000000000e+00    -0.0000000000e+00     2.5897113799e-03
   14.050000    -0.0000000000e+00    -0.0000000000e+00     5.0099137041e-03
   14.100000    -0.0000000000e+00    -0.0000000000e+00     9.1755712435e-03
   14.150000    -0.0000000000e+00    -0.0000000000e+00     1.5904172235e-02
   14.200000     0.0000000000e+00     0.0000000000e+00     2.6084896568e-02
   14.250000     0.0000000000e+00     0.0000000000e+00     4.0478821973e-02
   14.300000     0.0000000000e+00     0.0000000000e+00     5.9430016708e-02
   14.350000     0.0000000000e+00     0.0000000000e+00     8.2548850704e-02
   14.400000     0.0000000000e+00     0.0000000000e+00     1.0847670191e-01
   14.450000     0.0000000000e+00     0.0000000000e+00     1.3485844683e-01
   14.500000     0.0000000000e+00     0.0000000000e+00     1.5861117572e-01
   14.550000     0.0000000000e+00     0.0000000000e+00     1.7648271252e-01
   14.600000     0.0000000000e+00     0.0000000000e+00     1.8577311341e-01
   14.650000     0.0000000000e+00     0.0000000000e+00     1.8500180438e-01
   14.700000     0.0000000000e+00     0.0000000000e+00     1.7429386489e-01
   14.750000     0.0000000000e+00     0.0000000000e+00     1.5534684223e-01
   14.800000     0.0000000000e+00     0.0000000000e+00     1.3099019900e-01
   14.850000     0.0000000000e+00     0.0000000000e+00     1.0449464491e-01
   14.900000     0.0000000000e+00     0.0000000000e+00     7.8862842372e-02
   14.950000     0.0000000000e+00     0.0000000000e+00     5.6309372794e-02
   15.000000     0.0000000000e+00     0.0000000000e+00     3.8039050747e-02
   15.050000     0.0000000000e+00     0.0000000000e+00     2.4312944803e-02
   15.100000     0.0000000000e+00     0.0000000000e+00     1.4704024839e-02
   15.150000     0.0000000000e+00     0.0000000000e+00     8.4155811786e-03
   15.200000     0.0000000000e+00     0.0000000000e+00     4.5592548440e-03
   15.250000     0.0000000000e+00     0.0000000000e+00     2.3393402223e-03
   15.300000     0.0000000000e+00     0.0000000000e+00     1.1380619696e-03
   15.350000     0.0000000000e+00     0.0000000000e+00     5.2623861518e-04
   15.400000     0.0000000000e+00     0.0000000000e+00     2.3259986902e-04
   15.450000     0.0000000000e+00     0.0000000000e+00     9.9593226602e-05
   15.500000     0.0000000000e+00     0.0000000000e+00     4.2587713889e-05
   15.550000     0.0000000000e+00     0.0000000000e+00     1.9348205560e-05
   15.600000     0.0000000000e+00     0.0000000000e+00     1.0227941211e-05
   15.650000     0.0000000000e+00     0.0000000000e+00     6.6847270744e-06
   15.700000     0.0000000000e+00     0.0000000000e+00     5.2371032442e-06
   15.750000    -0.0000000000e+00    -0.0000000000e+00     4.5509255730e-06
   15.800000    -0.0000000000e+00    -0.0000000000e+00     4.1440686183e-06
   15.850000    -0.0000000000e+00    -0.0000000000e+00     3.8501725523e-06
   15.900000    -0.0000000000e+00    -0.0000000000e+00     3.6109485311e-06
   15.950000    -0.0000000000e+00    -0.0000000000e+00     3.4032616252e-06
   16.000000    -0.0000000000e+00    -0.0000000000e+00     3.2168986912e-06
   16.050000    -0.0000000000e+00    -0.0000000000e+00     3.0467421090e-06
   16.100000    -0.0000000000e+00    -0.0000000000e+00     2.8885000111e-06
   16.150000    -0.0000000000e+00    -0.0000000000e+00     2.7383305895e-06
   16.200000    -0.0000000000e+00    -0.0000000000e+00     2.5948497640e-06
   16.250000    -0.0000000000e+00    -0.0000000000e+00     2.4589291097e-06
   16.300000    -0.0000000000e+00    -0.0000000000e+00     2.3311080292e-06
   16.350000    -0.0000000000e+00    -0.0000000000e+00     2.2109284377e-06
   16.400000    -0.0000000000e+00    -0.0000000000e+00     2.0988402070e-06
   16.450000    -0.0000000000e+00    -0.0000000000e+00     1.9965411169e-06
   16.500000    -0.0000000000e+00    -0.0000000000e+00     1.9047643572e-06
   16.550000    -0.0000000000e+00    -0.0000000000e+00     1.8225734908e-06
   16.600000    -0.0000000000e+00    -0.0000000000e+00     1.7495492977e-06
   16.650000    -0.0000000000e+00    -0.0000000000e+00     1.6869266239e-06
   16.700000    -0.0000000000e+00    -0.0000000000e+00     1.6358716738e-06
   16.750000    -0.0000000000e+00    -0.0000000000e+00     1.5966082566e-06
   16.800000    -0.0000000000e+00    -0.0000000000e+00     1.5704741087e-06
   16.850000    -0.0000000000e+00    -0.0000000000e+00     1.5612276787e-06
   16.900000    -0.0000000000e+00    -0.0000000000e+00     1.5728996563e-06
   16.950000    -0.0000000000e+00    -0.0000000000e+00     1.6073514170e-06
   17.000000    -0.0000000000e+00    -0.0000000000e+00     1.6644786776e-06
   17.050000    -0.0000000000e+00    -0.0000000000e+00     1.7424184201e-06
   17.100000    -0.0000000000e+00    -0.0000000000e+00     1.8351470354e-06
   17.150000    -0.0000000000e+00    -0.0000000000e+00     1.9307094542e-06
   17.200000    -0.0000000000e+00    -0.0000000000e+00     2.0138607514e-06
   17.250000    -0.0000000000e+00    -0.0000000000e+00     2.0706888384e-06
   17.300000    -0.0000000000e+00    -0.0000000000e+00     2.0908674166e-06
   17.350000    -0.0000000000e+00     0.0000000000e+00     2.0684119603e-06
   17.400000     0.0000000000e+00     0.0000000000e+00     2.0037973999e-06
   17.450000     0.0000000000e+00     0.0000000000e+00     1.9054229167e-06
   17.500000     0.0000000000e+00     0.0000000000e+00     1.7866842959e-06
   17.550000     0.0000000000e+00     0.0000000000e+00     1.6606662404e-06
   17.600000     0.0000000000e+00     0.0000000000e+00     1.5376686614e-06
   17.650000     0.0000000000e+00     0.0000000000e+00     1.4256885646e-06
   17.700000     0.0000000000e+00     0.0000000000e+00     1.3299321038e-06
   17.750000     0.0000000000e+00     0.0000000000e+00     1.2513314611e-06
   17.800000     0.0000000000e+00     0.0000000000e+00     1.1876677692e-06
   17.850000     0.0000000000e+00     0.0000000000e+00     1.1368718013e-06
   17.900000     0.0000000000e+00     0.0000000000e+00     1.0979977814e-06
   17.950000     0.0000000000e+00     0.0000000000e+00     1.0692898226e-06
   18.000000     0.0000000000e+00     0.0000000000e+00     1.0476579329e-06
